127.0.0.1 - - [02/Aug/2022:21:29:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:30:37 +0900] "GET /servlet/form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:30:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:30:43 +0900] "POST /servlet/form.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:47:02 +0900] "GET /servlet/hello.do HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:47:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:47:18 +0900] "GET /servlet/hello.do HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:47:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:48:09 +0900] "GET /servlet/hello.do HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:48:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:48:11 +0900] "GET /servlet/hello.do HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:48:13 +0900] "GET /servlet/hello.do HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Aug/2022:21:48:14 +0900] "GET /servlet/hello.do HTTP/1.1" 404 721
